INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('1', 'uaxton0@slideshare.net', '60181276972', '3', '29-Nov-1989');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('2', 'fcolley1@wsj.com', '60177339762', '5', '31-Mar-1996');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('3', 'vpuddin2@nsw.gov.au', '60108980953', '5', '13-Nov-1983');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('4', 'sdebruijn3@sciencedaily.com', '60175146705', '1', '17-Jun-1973');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('5', 'nboreham4@barnesandnoble.com', '60178557757', '5', '12-Feb-1991');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('6', 'qbutcher5@cloudflare.com', '60113624273', '8', '8-Sep-1973');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('7', 'dmacmickan6@newyorker.com', '60139767681', '10', '11-Nov-1994');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('8', 'bdriuzzi7@opera.com', '60152575673', '8', '19-Aug-1981');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('9', 'caltree8@blogs.com', '60113404527', '8', '13-Feb-1987');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('10', 'ivasyatkin9@biglobe.ne.jp', '60184038141', '4', '14-Nov-2002');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('11', 'nbondsa@bandcamp.com', '60133046253', '5', '22-Oct-1973');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('12', 'adorkenb@yellowpages.com', '60133048466', '6', '30-Dec-2000');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('13', 'mcarlonic@walmart.com', '60146646769', '5', '16-Aug-1998');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('14', 'aweaverd@linkedin.com', '60143952371', '9', '27-Oct-2000');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('15', 'thassene@hud.gov', '60151662428', '7', '17-Aug-1987');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('16', 'cbugbirdf@scribd.com', '60182016978', '8', '30-Sep-1978');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('17', 'bcratchleyg@icio.us', '60146384603', '6', '4-Jun-1982');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('18', 'cscurreyh@dmoz.org', '60170607727', '6', '28-Jul-1970');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('19', 'sshevlini@washingtonpost.com', '60156248115', '5', '10-Feb-1999');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('20', 'kdelleschij@unesco.org', '60188245417', '5', '4-Nov-1971');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('21', 'rmadgek@g.co', '60164387539', '9', '16-Nov-1974');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('22', 'preal@tiny.cc', '60158835398', '3', '25-Oct-1982');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('23', 'nmisselbrookm@creativecommons.org', '60181817150', '9', '28-Nov-1974');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('24', 'wwherrettn@moonfruit.com', '60191636358', '9', '2-Feb-1979');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('25', 'ttompkinso@icio.us', '60182215852', '4', '11-Dec-1972');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('26', 'lphiferp@webs.com', '60144319671', '7', '13-Oct-1994');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('27', 'mmedcalfq@independent.co.uk', '60112668529', '2', '3-Mar-1975');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('28', 'dbrierleyr@lulu.com', '60118516677', '3', '20-Dec-1999');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('29', 'lchittems@usgs.gov', '60184474837', '5', '25-Jul-1984');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('30', 'clevermoret@jalbum.net', '60119784529', '9', '23-Jul-1978');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('31', 'agoodlakeu@t.co', '60117949466', '8', '25-Nov-1984');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('32', 'sarnaldov@gnu.org', '60172709823', '3', '7-Jun-2002');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('33', 'tmattiassiw@altervista.org', '60118117962', '6', '7-May-1991');
INSERT INTO Member (member_id, member_email, member_phone_number, loyalty_level_id, member_date_of_birth) VALUES ('34', 'lbuyersx@sakura.ne.jp', '60164126431', '2', '26-Jul-1994');
